robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2018-06-20,WIN,VENDA,-920.00,0,13:16:40,Reversao,16,-920.00,0
alaska-&-square,2018-06-21,WIN,VENDA,80.00,0,14:32:40,Reversao,4,80.00,0
alaska-&-square,2018-06-22,WIN,VENDA,80.00,0,11:02:40,Reversao,4,80.00,0
alaska-&-square,2018-06-22,WIN,VENDA,80.00,0,15:14:40,Reversao,4,80.00,0
alaska-&-square,2018-06-22,WIN,VENDA,264.00,0,16:13:20,Reversao,16,264.00,0
alaska-&-square,2018-06-25,WIN,VENDA,-920.00,0,10:07:40,Reversao,16,-920.00,0
alaska-&-square,2018-06-25,WIN,VENDA,264.00,0,15:40:40,Reversao,16,264.00,0
alaska-&-square,2018-06-26,WIN,VENDA,-920.00,0,10:05:40,Reversao,16,-920.00,0
alaska-&-square,2018-06-26,WIN,VENDA,-920.00,0,14:14:40,Reversao,16,-920.00,0
alaska-&-square,2018-06-27,WIN,VENDA,-920.00,0,11:01:40,Reversao,16,-920.00,0
alaska-&-square,2018-06-27,WIN,VENDA,80.00,0,12:03:40,Reversao,4,80.00,0
alaska-&-square,2018-06-28,WIN,VENDA,80.00,0,13:11:40,Reversao,4,80.00,0
alaska-&-square,2018-06-28,WIN,VENDA,80.00,0,16:03:40,Reversao,4,80.00,0
alaska-&-square,2018-06-29,WIN,VENDA,80.00,0,12:51:40,Reversao,4,80.00,0
alaska-&-square,2018-06-29,WIN,VENDA,264.00,0,16:38:40,Reversao,16,264.00,0
alaska-&-square,2018-07-02,WIN,VENDA,-920.00,0,10:24:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-02,WIN,VENDA,264.00,0,11:22:40,Reversao,16,264.00,0
alaska-&-square,2018-07-02,WIN,VENDA,264.00,0,13:26:40,Reversao,16,264.00,0
alaska-&-square,2018-07-03,WIN,VENDA,80.00,0,10:17:40,Reversao,4,80.00,0
alaska-&-square,2018-07-03,WIN,VENDA,80.00,0,13:39:40,Reversao,4,80.00,0
alaska-&-square,2018-07-04,WIN,VENDA,-920.00,0,10:17:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-04,WIN,VENDA,264.00,0,12:55:40,Reversao,16,264.00,0
alaska-&-square,2018-07-05,WIN,VENDA,80.00,0,14:36:40,Reversao,4,80.00,0
alaska-&-square,2018-07-05,WIN,VENDA,-632.00,0,16:17:40,Reversao,16,-632.00,0
alaska-&-square,2018-07-06,WIN,VENDA,-920.00,0,10:05:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-06,WIN,VENDA,264.00,0,11:07:40,Reversao,16,264.00,0
alaska-&-square,2018-07-06,WIN,VENDA,80.00,0,12:32:40,Reversao,4,80.00,0
alaska-&-square,2018-07-10,WIN,VENDA,80.00,0,10:11:40,Reversao,4,80.00,0
alaska-&-square,2018-07-10,WIN,VENDA,80.00,0,13:06:40,Reversao,4,80.00,0
alaska-&-square,2018-07-11,WIN,VENDA,80.00,0,12:10:40,Reversao,4,80.00,0
